,activity_id,team_id,type,date,team_name,home_away,rotated_session,data_saved,stats_saved
64,3220,40,official,20200101,anonymous,A,2,1,1
65,3447,11,official,20200101,anonymous,A,2,1,1
66,3683,40,official,20200101,anonymous,H,1,1,1
67,3437,127,official,20200101,anonymous,H,2,1,1
68,3456,8,official,20200101,anonymous,A,1,1,1
69,3548,175,official,20200101,anonymous,H,1,1,1
70,3466,92,official,20200101,anonymous,H,1,1,1
71,3523,123,official,20200101,anonymous,H,1,1,1
72,3521,136,official,20200101,anonymous,A,2,1,1
73,3534,11,official,20200101,anonymous,H,1,1,1
74,3543,69,official,20200101,anonymous,A,2,1,1
75,3597,92,official,20200101,anonymous,A,2,1,1
76,3637,40,official,20200101,anonymous,A,2,1,1
77,3567,8,official,20200101,anonymous,H,2,1,1
78,3843,123,official,20200101,anonymous,H,2,1,1
79,3803,136,official,20200101,anonymous,H,1,1,1
80,3926,69,official,20200101,anonymous,A,1,1,1
81,3699,127,official,20200101,anonymous,H,1,1,1
82,3651,8,official,20200101,anonymous,A,2,1,1
83,3833,175,official,20200101,anonymous,A,2,1,1
84,3721,11,official,20200101,anonymous,A,2,1,1
85,3839,92,official,20200101,anonymous,H,1,1,1
86,3748,40,official,20200101,anonymous,H,1,1,1
87,4130,123,official,20200101,anonymous,A,1,1,1
88,4093,175,official,20200101,anonymous,A,1,1,1
89,4101,87,official,20200101,anonymous,H,2,1,1
90,4121,9,official,20200101,anonymous,A,1,1,1
91,4095,69,official,20200101,anonymous,H,2,1,1
92,4106,92,official,20200101,anonymous,A,1,1,1
93,4097,40,official,20200101,anonymous,A,1,1,1
94,4104,153,official,20200101,anonymous,H,2,1,1
95,4100,127,official,20200101,anonymous,H,2,1,1
96,4119,8,official,20200101,anonymous,H,2,1,1
97,4135,136,official,20200101,anonymous,A,1,1,1
98,4115,11,official,20200101,anonymous,H,1,1,1
99,4116,174,official,20200101,anonymous,H,2,1,1
100,4148,165,official,20200101,anonymous,H,2,1,1
101,4312,153,official,20200101,anonymous,A,2,1,1
102,4408,123,official,20200101,anonymous,H,1,1,1
103,4331,175,official,20200101,anonymous,H,1,1,1
104,4334,11,official,20200101,anonymous,H,1,1,1
105,4339,9,official,20200101,anonymous,H,2,1,1
106,4337,69,official,20200101,anonymous,A,1,1,1
107,4393,165,official,20200101,anonymous,H,2,1,1
108,4355,92,official,20200101,anonymous,H,1,1,1
109,4354,40,official,20200101,anonymous,A,2,1,1
110,4436,136,official,20200101,anonymous,H,1,1,1
111,4397,174,official,20200101,anonymous,A,1,1,1
112,4433,152,official,20200101,anonymous,A,2,1,1
113,4371,127,official,20200101,anonymous,H,2,1,1
114,4535,153,official,20200101,anonymous,H,2,1,1
115,4646,123,official,20200101,anonymous,H,1,1,1
116,4557,174,official,20200101,anonymous,A,1,1,1
117,4553,9,official,20200101,anonymous,A,2,1,1
